sep=;
ID;Título;Precio Transferencia;Precio Efectivo
prod-ma30e-p-redw-mercusys-pcix-ac1-688;MA30E P.RedW Mercusys PCIX AC1200 2 Ant;$ 21.000,00;$ 19.000,00
prod-mu6h-high-gain-p-redw-usb-merc-915;MU6H High Gain P.RedW USB Mercusys Dual Band AC650;$ 15.000,00;$ 13.500,00
prod-silla-raptor-throne-s10-blanca-567;Silla Raptor throne S10 blanca;$ 187.500,00;$ 187.500,00
prod-escritorio-gamer-raptor-glow-s-301;Escritorio Gamer Raptor Glow Station SE RGB via USB c/portavasos + porta auricular;$ 149.000,00;$ 142.000,00
prod-prolongador-kelyx-6-tomas-220v-148;Prolongador Kelyx 6 tomas 220V c/proteccion 1.5mts;$ 14.000,00;$ 12.500,00
prod-prolongador-kelyx-4-tomas-220v-538;Prolongador Kelyx 4 tomas 220V c/proteccion 1.5mts;$ 12.000,00;$ 12.000,00
prod-patchcord-cable-utp-cat-5e-3-m-25;Patchcord Cable UTP Cat 5e 3 MT CCA;$ 4.500,00;$ 3.500,00
prod-estab-forza-2200va-1100w-204;ESTAB FORZA 2200VA/1100W;$ 60.500,00;$ 58.000,00
prod-cable-kelyx-hdmi-1080p-1-5-met-58;Cable Kelyx HDMI 1080P - 1.5 metros;$ 2.500,00;$ 2.500,00
prod-cable-kelyx-hdmi-4k-5-metros-382;Cable Kelyx HDMI 4K - 5 metros;$ 7.500,00;$ 6.500,00
prod-cable-kelyx-hdmi-4k-3-metros-505;Cable Kelyx HDMI 4K - 3 metros;$ 6.000,00;$ 5.000,00
prod-hdmi-4k-kelyx-10m-959;Hdmi 4k kelyx 10M;$ 14.000,00;$ 14.000,00
prod-adaptador-kelyx-hdmi-a-vga-108-528;Adaptador Kelyx HDMI a VGA 1080p c/audio;$ 7.000,00;$ 5.500,00
prod-display-port-1-5m-8k-589;Display port 1.5M 8k;$ 10.000,00;$ 10.000,00
prod-cable-kelyx-display-port-1-4-4-891;Cable Kelyx Display Port 1.4 4K a 120Hz / 8K 60Hz 48Gbps 3 mt;$ 14.000,00;$ 12.500,00
prod-cable-sata-3-sata-iii-6gb-s-co-77;Cable Sata 3 Sata Iii 6gb/s Con Traba Metálica;$ 3.500,00;$ 2.500,00
prod-cable-kelyx-usb-type-c-a-type--341;Cable Kelyx Usb Type C A Type C 65w;$ 7.000,00;$ 6.000,00
prod-conversor-displayport-a-vga-961;Conversor displayport a Vga;$ 9.000,00;$ 9.000,00
prod-adaptador-displayport-hdmi-4k--469;Adaptador Displayport Hdmi 4k 60hz;$ 7.000,00;$ 6.000,00
prod-cuna-soporte-cooler-mother-amd-788;Cuna Soporte Cooler Mother Amd Am4 Ryzen + Tornillos;$ 4.000,00;$ 2.700,00
prod-torreta-y-tornillo-disco-ssd-m-361;Torreta Y Tornillo Disco Ssd M2 P/ Mother Pc M.2;$ 2.000,00;$ 1.500,00
prod-kit-de-destornillador-115-piez-665;Kit de destornillador 115 piezas;$ 14.000,00;$ 12.000,00
prod-manta-antiestatica-45x30-352;Manta Antiestatica 45x30;$ 15.500,00;$ 15.500,00
prod-kit-alc-isopropilico-1-litro-9-14;Kit Alc Isopropilico 1 Litro 99,9% Electronica Celular;$ 14.500,00;$ 10.000,00
prod-fichas-utp-rj45-cat-5e-692;Fichas UTP RJ45 Cat 5e;$ 500,00;$ 500,00
prod-bolsa-x-100-fichas-utp-rj45-ca-592;Bolsa x 100 Fichas UTP RJ45 Cat 5e;$ 12.000,00;$ 11.000,00
